"","State_Code","Region","Cost_Index","race","all_race_value"
"135","VA","South",101.8,"Latinx",810770
"136","DE","South",107.9,"Latinx",91350
"137","MD","South",124,"Latinx",619418
"138","NM","West",91,"Latinx",1031788
"139","WY","West",94.3,"Latinx",58854
"140","UT","West",99,"Latinx",446067
"141","MT","West",100.7,"Latinx",41501
"142","ID","West",102.1,"Latinx",222967
"143","AZ","West",103.2,"Latinx",2260690
"144","CO","West",105.3,"Latinx",1231126
"145","NV","West",106.3,"Latinx",875798
"146","WA","West",111.6,"Latinx",971522
"147","AK","West",127.1,"Latinx",53059
"148","OR","West",130.1,"Latinx",552279
"149","CA","West",142.2,"Latinx",15380929
"150","HI","West",193.3,"Latinx",152566
"151","KS","Midwest",86.5,"African",159797
"152","MO","Midwest",89.8,"African",692510
"153","IA","Midwest",89.9,"African",114312
"154","IN","Midwest",90.6,"African",622317
"155","MI","Midwest",91.3,"African",1342592
"156","OH","Midwest",91.3,"African",1422412
"157","NE","Midwest",93.7,"African",89744
"158","IL","Midwest",94.3,"African",1766586
"159","WI","Midwest",96.4,"African",360526
"160","ND","Midwest",98.2,"African",23459
"161","MN","Midwest",100,"African",354540
"162","SD","Midwest",101,"African",18436
"163","PA","Northeast",102.5,"African",1352329
"164","NH","Northeast",109.9,"African",18343
"165","ME","Northeast",115,"African",17761
"166","NJ","Northeast",115.2,"African",1121134
"167","VT","Northeast",117,"African",7496
"168","RI","Northeast",117.2,"African",58680
"169","CT","Northeast",121.6,"African",352036
"170","MA","Northeast",135,"African",466288
"171","NY","Northeast",148.2,"African",2737471
"172","MS","South",83.3,"African",1118689
"173","AL","South",87.9,"African",1292950
"174","OK","South",87.9,"African",282134
"175","GA","South",88.8,"African",3275581
"176","TN","South",89,"African",1118600
"177","WV","South",90.5,"African",63133
"178","AR","South",90.9,"African",455485
"179","TX","South",92.1,"African",3367449
"180","LA","South",93,"African",1489071
"181","KY","South",93.1,"African",356048
"182","SC","South",93.6,"African",1337126
"183","NC","South",95.7,"African",2182623
"184","FL","South",100.3,"African",3231108
"185","VA","South",101.8,"African",1590974
"186","DE","South",107.9,"African",208126
"187","MD","South",124,"African",1773702
"188","NM","West",91,"African",37975
"189","WY","West",94.3,"African",4712
"190","UT","West",99,"African",34982
"191","MT","West",100.7,"African",4931
"192","ID","West",102.1,"African",10558
"193","AZ","West",103.2,"African",305973
"194","CO","West",105.3,"African",224190
"195","NV","West",106.3,"African",271744
"196","WA","West",111.6,"African",279720
"197","AK","West",127.1,"African",22720
"198","OR","West",130.1,"African",75418
"199","CA","West",142.2,"African",2142371
"200","HI","West",193.3,"African",25130
"201","KS","Midwest",86.5,"Asian",85734
"202","MO","Midwest",89.8,"Asian",122506
"203","IA","Midwest",89.9,"Asian",78873
"204","IN","Midwest",90.6,"Asian",157076
"205","MI","Midwest",91.3,"Asian",314736
"206","OH","Midwest",91.3,"Asian",266601
"207","NE","Midwest",93.7,"Asian",47539
"208","IL","Midwest",94.3,"Asian",702457
"209","WI","Midwest",96.4,"Asian",162010
"210","ND","Midwest",98.2,"Asian",11831
"211","MN","Midwest",100,"Asian",273100
"212","SD","Midwest",101,"Asian",12275
"213","PA","Northeast",102.5,"Asian",445725
"214","NH","Northeast",109.9,"Asian",36398
"215","ME","Northeast",115,"Asian",15157
"216","NJ","Northeast",115.2,"Asian",851568
"217","VT","Northeast",117,"Asian",10042
"218","RI","Northeast",117.2,"Asian",35856
"219","CT","Northeast",121.6,"Asian",161787
"220","MA","Northeast",135,"Asian",462831
"221","NY","Northeast",148.2,"Asian",1657284
"222","MS","South",83.3,"Asian",29561
"223","AL","South",87.9,"Asian",67317
"224","OK","South",87.9,"Asian",85858
"225","GA","South",88.8,"Asian",430473
"226","TN","South",89,"Asian",121808
"227","WV","South",90.5,"Asian",13948
"228","AR","South",90.9,"Asian",45389
"229","TX","South",92.1,"Asian",1396953
"230","LA","South",93,"Asian",79976
"231","KY","South",93.1,"Asian",67524
"232","SC","South",93.6,"Asian",82800
"233","NC","South",95.7,"Asian",306140
"234","FL","South",100.3,"Asian",579476
"235","VA","South",101.8,"Asian",564706
"236","DE","South",107.9,"Asian",38249
"237","MD","South",124,"Asian",382027
"238","NM","West",91,"Asian",31328
"239","WY","West",94.3,"Asian",4746
"240","UT","West",99,"Asian",72061
"241","MT","West",100.7,"Asian",8527
"242","ID","West",102.1,"Asian",23603
"243","AZ","West",103.2,"Asian",233048
"244","CO","West",105.3,"Asian",178265
"245","NV","West",106.3,"Asian",246904
"246","WA","West",111.6,"Asian",656578
"247","AK","West",127.1,"Asian",45855
"248","OR","West",130.1,"Asian",185221
"249","CA","West",142.2,"Asian",5743983
"250","HI","West",193.3,"Asian",522125
